,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,child_protection_최소거리(m),300m보호구역개수,accident_최소거리(m),200m내위험구역개수,parking_최소거리(m),500내주차장개수
0,자양4동,127.057130928745,37.5293590510558,943.10568087128,0,658.159095463584,0,678.069179907749,0,1283.82923901553,0,1148.13313684076,0,550.087297287286,0
1,자양4동,127.058268002335,37.5284619543354,827.611714958859,0,636.487794060208,0,580.961544710935,0,1178.18739552859,0,1028.17573186093,0,489.745395494761,0
2,자양4동,127.058262686994,37.5293632897249,818.040769438507,0,584.165586303748,0,566.033273394599,1,1161.65360264954,0,1022.44461248456,0,448.50833501694495,0
3,자양4동,127.058257371415,37.5302646249758,812.868006690599,0,533.568661095217,0,550.211772249281,1,1148.07111731065,0,1020.27207548395,0,412.046496627566,0
4,자양4동,127.058252055599,37.5311659600882,812.177463532887,0,485.237011837734,0,504.338347076246,1,1137.54565911193,0,1021.68081945771,0,381.0337882037,0
5,자양4동,127.058246739547,37.5320672950621,815.980515948817,0,439.917891105408,0,461.838448529485,1,1130.16264098259,0,1026.65609925785,0,357.535779455031,0
6,자양4동,127.059399747203,37.5284661820224,704.660714508772,0,587.414878683943,0,462.473156756918,1,1058.87304514012,0,903.433614136635,0,410.01145159377296,0
7,자양4동,127.059394445479,37.52936751754871,693.310153137327,0,530.162191455462,0,443.443588661084,1,1040.38782252132,0,896.84006873278,0,361.989178935746,0
8,자양4동,127.059389143518,37.5302688529365,687.113923293674,0,473.71004384286096,0,432.107553601915,1,1025.14210925617,0,894.296694701839,0,315.933862163948,0
9,자양4동,127.059383841321,37.5311701881857,686.21165977979,0,418.382603482411,0,429.075260779945,1,1013.28213667403,0,895.83798590075,0,275.016548643432,0
10,자양4동,127.059378538887,37.5320715232963,690.624107444079,0,364.69210995174495,0,378.596667270865,1,1004.92778262405,0,901.442987331478,0,241.806624415923,10
11,자양4동,127.059373236218,37.5329728582685,700.250801447147,0,313.480774794903,1,330.862592829666,4,1000.1668948655,0,911.036694917456,0,219.802595994424,10
12,자양4동,127.059367933312,37.533874193102,714.881121208307,0,266.183358310889,2,287.955301497549,7,999.05084474686,0,924.494938447819,0,213.23575628225,10
13,자양4동,127.060536780179,37.5275690630632,602.657802597386,0,623.021626964358,0,382.963420446063,1,965.54787869475,0,791.382728502385,0,404.897689886632,0
14,자양4동,127.060531492307,37.5284703988645,583.007314115411,0,562.797999473811,0,349.273224004297,1,941.299211055169,0,779.092057103578,0,347.969094133618,0
15,자양4동,127.0605262042,37.5293717345273,569.133682025454,1,502.634026689346,0,323.475970901426,1,920.391612253002,0,771.360543830527,0,292.466552874673,0
16,자양4동,127.060520915857,37.5302730700515,561.46529739634,1,442.554032214602,0,307.564191139189,1,903.057166300622,0,768.325830893586,0,239.384033615836,0
17,자양4동,127.060515627278,37.5311744054372,560.257011420489,1,382.597572103706,0,303.098767413186,1,889.504792498049,0,770.04344617826,0,189.985259552395,10
18,자양4동,127.060510338464,37.5320757406843,565.55022593441,1,322.83347267517,0,310.573809585397,1,879.909259390743,0,776.481849351909,0,142.5331187976,10
19,자양4동,127.060505049414,37.5329770757929,577.166086880051,1,263.392695736209,2,266.727515994298,7,874.400838459297,0,787.525260908453,0,102.883283111861,10
20,자양4동,127.060499760129,37.5338784107629,594.734238338893,0,204.55727677397,2,210.89395359262,10,873.056890770971,0,802.983701967855,0,87.3292486500804,11
21,자양4동,127.060494470608,37.5347797455944,617.747051244076,0,147.055591741427,2,158.501452011239,15,875.896582640292,0,822.608305080662,0,109.460365706074,12
